Zipcode,ZoneName,Small,Medium,Large,ShippingClass,,,ZipZoneID,ZipCode,ZoneID,ShippingClass,ZoneName
1264,5,37,65,83,No Shipping Class Assigned,,,,,,,
1266,5,37,65,83,No Shipping Class Assigned,,,,,,,
1267,5,37,65,83,No Shipping Class Assigned,,,,,,,
1270,5,37,65,83,No Shipping Class Assigned,,,,,,,
1301,6,41,70,86,No Shipping Class Assigned,,,,,,,
1302,6,41,70,86,No Shipping Class Assigned,,,,,,,
1330,6,41,70,86,No Shipping Class Assigned,,,,,,,
1331,6,41,70,86,No Shipping Class Assigned,,,,,,,
1337,6,41,70,86,No Shipping Class Assigned,,,,,,,
1338,6,41,70,86,No Shipping Class Assigned,,,,,,,
1339,6,41,70,86,No Shipping Class Assigned,,,,,,,
1340,6,41,70,86,No Shipping Class Assigned,,,,,,,
1341,6,41,70,86,No Shipping Class Assigned,,,,,,,
1342,6,41,70,86,No Shipping Class Assigned,,,,,,,
1343,6,41,70,86,No Shipping Class Assigned,,,,,,,
1344,6,41,70,86,No Shipping Class Assigned,,,,,,,
1346,6,41,70,86,No Shipping Class Assigned,,,,,,,
1347,6,41,70,86,No Shipping Class Assigned,,,,,,,
1349,6,41,70,86,No Shipping Class Assigned,,,,,,,
1350,6,41,70,86,No Shipping Class Assigned,,,,,,,
1351,6,41,70,86,No Shipping Class Assigned,,,,,,,
1354,6,41,70,86,No Shipping Class Assigned,,,,,,,
1355,6,41,70,86,No Shipping Class Assigned,,,,,,,
1360,6,41,70,86,No Shipping Class Assigned,,,,,,,
1364,6,41,70,86,No Shipping Class Assigned,,,,,,,
1366,6,41,70,86,No Shipping Class Assigned,,,,,,,
1367,6,41,70,86,No Shipping Class Assigned,,,,,,,
1368,6,41,70,86,No Shipping Class Assigned,,,,,,,
1369,6,41,70,86,No Shipping Class Assigned,,,,,,,
1370,5,37,65,83,No Shipping Class Assigned,,,,,,,
1373,5,37,65,83,No Shipping Class Assigned,,,,,,,
1375,5,37,65,83,No Shipping Class Assigned,,,,,,,
1376,5,37,65,83,No Shipping Class Assigned,,,,,,,
1378,5,37,65,83,No Shipping Class Assigned,,,,,,,
1379,5,37,65,83,No Shipping Class Assigned,,,,,,,
1380,5,37,65,83,No Shipping Class Assigned,,,,,,,
1420,5,37,65,83,No Shipping Class Assigned,,,,,,,
1430,5,37,65,83,No Shipping Class Assigned,,,,,,,
1431,5,37,65,83,No Shipping Class Assigned,,,,,,,
1432,5,37,65,83,No Shipping Class Assigned,,,,,,,
1433,5,37,65,83,No Shipping Class Assigned,,,,,,,
1434,5,37,65,83,No Shipping Class Assigned,,,,,,,
1436,5,37,65,83,No Shipping Class Assigned,,,,,,,
1438,5,37,65,83,No Shipping Class Assigned,,,,,,,
1440,5,37,65,83,No Shipping Class Assigned,,,,,,,
1441,5,37,65,83,No Shipping Class Assigned,,,,,,,
1450,5,37,65,83,No Shipping Class Assigned,,,,,,,
1451,5,37,65,83,No Shipping Class Assigned,,,,,,,
1452,5,37,65,83,No Shipping Class Assigned,,,,,,,
1453,5,37,65,83,No Shipping Class Assigned,,,,,,,
1460,5,37,65,83,No Shipping Class Assigned,,,,,,,
1462,5,37,65,83,No Shipping Class Assigned,,,,,,,
1463,5,37,65,83,No Shipping Class Assigned,,,,,,,
1464,5,37,65,83,No Shipping Class Assigned,,,,,,,
1466,5,37,65,83,No Shipping Class Assigned,,,,,,,
1467,5,37,65,83,No Shipping Class Assigned,,,,,,,
1468,5,37,65,83,No Shipping Class Assigned,,,,,,,
1469,5,37,65,83,No Shipping Class Assigned,,,,,,,
1470,5,37,65,83,No Shipping Class Assigned,,,,,,,
1471,5,37,65,83,No Shipping Class Assigned,,,,,,,
1472,5,37,65,83,No Shipping Class Assigned,,,,,,,
1473,5,37,65,83,No Shipping Class Assigned,,,,,,,
1474,5,37,65,83,No Shipping Class Assigned,,,,,,,
1475,5,37,65,83,No Shipping Class Assigned,,,,,,,
1477,5,37,65,83,No Shipping Class Assigned,,,,,,,
1501,5,37,65,83,No Shipping Class Assigned,,,,,,,
1503,5,37,65,83,No Shipping Class Assigned,,,,,,,
1504,5,37,65,83,No Shipping Class Assigned,,,,,,,
1505,5,37,65,83,No Shipping Class Assigned,,,,,,,
1506,5,37,65,83,No Shipping Class Assigned,,,,,,,
1507,5,37,65,83,No Shipping Class Assigned,,,,,,,
1508,5,37,65,83,No Shipping Class Assigned,,,,,,,
1509,5,37,65,83,No Shipping Class Assigned,,,,,,,
1510,5,37,65,83,No Shipping Class Assigned,,,,,,,
1515,5,37,65,83,No Shipping Class Assigned,,,,,,,
1516,5,37,65,83,No Shipping Class Assigned,,,,,,,
1517,5,37,65,83,No Shipping Class Assigned,,,,,,,
1518,5,37,65,83,No Shipping Class Assigned,,,,,,,
1519,5,37,65,83,No Shipping Class Assigned,,,,,,,
1520,5,37,65,83,No Shipping Class Assigned,,,,,,,
1521,5,37,65,83,No Shipping Class Assigned,,,,,,,
1522,5,37,65,83,No Shipping Class Assigned,,,,,,,
1523,5,37,65,83,No Shipping Class Assigned,,,,,,,
1524,5,37,65,83,No Shipping Class Assigned,,,,,,,
1525,5,37,65,83,No Shipping Class Assigned,,,,,,,
1526,5,37,65,83,No Shipping Class Assigned,,,,,,,
1527,5,37,65,83,No Shipping Class Assigned,,,,,,,
1529,5,37,65,83,No Shipping Class Assigned,,,,,,,
1531,5,37,65,83,No Shipping Class Assigned,,,,,,,
1532,5,37,65,83,No Shipping Class Assigned,,,,,,,
1534,5,37,65,83,No Shipping Class Assigned,,,,,,,
1535,5,37,65,83,No Shipping Class Assigned,,,,,,,
1536,5,37,65,83,No Shipping Class Assigned,,,,,,,
1537,5,37,65,83,No Shipping Class Assigned,,,,,,,
