ZipCode,ZoneName,Small,Medium,Large,ShippingClass
2121,5,37,65,83,Fed Ex Overnight
2122,5,37,65,83,Fed Ex Overnight
2123,5,37,65,83,Fed Ex Overnight
2124,5,37,65,83,Fed Ex Overnight
2125,5,37,65,83,Fed Ex Overnight
2126,5,37,65,83,Fed Ex Overnight
2127,5,37,65,83,Fed Ex Overnight
2128,5,37,65,83,Fed Ex Overnight
2129,5,37,65,83,Fed Ex Overnight
2130,0,5,10,20,Fed Ex Overnight
2131,0,5,10,20,Fed Ex Overnight
2132,0,5,10,20,Fed Ex Overnight
2133,0,5,10,20,Fed Ex Overnight
2134,0,5,10,20,Fed Ex Overnight
2135,0,5,10,20,Fed Ex Overnight
2136,0,5,10,20,Fed Ex Overnight
2137,0,5,10,20,Fed Ex Overnight
2138,0,5,10,20,Fed Ex Overnight
2139,0,5,10,20,Fed Ex Overnight
2140,5,37,65,83,Fed Ex Overnight
2141,5,37,65,83,Fed Ex Overnight
2142,5,37,65,83,Fed Ex Overnight
2143,5,37,65,83,Fed Ex Overnight
2144,5,37,65,83,Fed Ex Overnight
2145,5,37,65,83,Fed Ex Overnight
2146,5,37,65,83,Fed Ex Overnight
2147,5,37,65,83,Fed Ex Overnight
2148,5,37,65,83,Fed Ex Overnight
2149,5,37,65,83,Fed Ex Overnight
2150,5,37,65,83,Fed Ex Overnight
2151,5,37,65,83,Fed Ex Overnight
2152,5,37,65,83,Fed Ex Overnight
2153,5,37,65,83,Fed Ex Overnight
2154,5,37,65,83,Fed Ex Overnight
2155,5,37,65,83,Fed Ex Overnight
2156,5,37,65,83,Fed Ex Overnight
2157,5,37,65,83,Fed Ex Overnight
2158,5,37,65,83,Fed Ex Overnight
2159,5,37,65,83,Fed Ex Overnight
2160,5,37,65,83,Fed Ex Overnight
2161,5,37,65,83,Fed Ex Overnight
2162,5,37,65,83,Fed Ex Overnight
2163,5,37,65,83,Fed Ex Overnight
2164,5,37,65,83,Fed Ex Overnight
2165,5,37,65,83,Fed Ex Overnight
2166,5,37,65,83,Fed Ex Overnight
2167,5,37,65,83,Fed Ex Overnight
2168,5,37,65,83,Fed Ex Overnight
2169,5,37,65,83,Fed Ex Overnight
2170,5,37,65,83,Fed Ex Overnight
2171,5,37,65,83,Fed Ex Overnight
2172,5,37,65,83,Fed Ex Overnight
2173,5,37,65,83,Fed Ex Overnight
2174,5,37,65,83,Fed Ex Overnight
2175,5,37,65,83,Fed Ex Overnight
2176,5,37,65,83,Fed Ex Overnight
2177,5,37,65,83,Fed Ex Overnight
2178,5,37,65,83,Fed Ex Overnight
2179,5,37,65,83,Fed Ex Overnight
2180,5,37,65,83,Fed Ex Overnight
2181,5,37,65,83,Fed Ex Overnight
2184,5,37,65,83,Fed Ex Overnight
2185,5,37,65,83,Fed Ex Overnight
2186,5,37,65,83,Fed Ex Overnight
2187,5,37,65,83,Fed Ex Overnight
2188,5,37,65,83,Fed Ex Overnight
2189,5,37,65,83,Fed Ex Overnight
2190,5,37,65,83,Fed Ex Overnight
2191,5,37,65,83,Fed Ex Overnight
2192,5,37,65,83,Fed Ex Overnight
2193,5,37,65,83,Fed Ex Overnight
2194,5,37,65,83,Fed Ex Overnight
2195,5,37,65,83,Fed Ex Overnight
2196,5,37,65,83,Fed Ex Overnight
2199,5,37,65,83,Fed Ex Overnight
2201,5,37,65,83,Fed Ex Overnight
2202,5,37,65,83,Fed Ex Overnight
2203,5,37,65,83,Fed Ex Overnight
2204,5,37,65,83,Fed Ex Overnight
2205,5,37,65,83,Fed Ex Overnight
2206,5,37,65,83,Fed Ex Overnight
2207,5,37,65,83,Fed Ex Overnight
2208,5,37,65,83,Fed Ex Overnight
2209,5,37,65,83,Fed Ex Overnight
2210,5,37,65,83,Fed Ex Overnight
2211,5,37,65,83,Fed Ex Overnight
2212,5,37,65,83,Fed Ex Overnight
2215,5,37,65,83,Fed Ex Overnight
2216,5,37,65,83,Fed Ex Overnight
2217,5,37,65,83,Fed Ex Overnight
