"Zipcode","ZoneName","Small","Medium","Large","ShippingClass"
"1866","5","37","65","83",""
"1867","5","37","65","83",""
"1876","5","37","65","83",""
"1879","5","37","65","83",""
"1880","5","37","65","83",""
"1885","5","37","65","83",""
"1886","5","37","65","83",""
"1887","5","37","65","83",""
"1888","5","37","65","83",""
"1889","5","37","65","83",""
"1890","5","37","65","83",""
"1899","5","37","65","83",""
"1901","5","37","65","83",""
"1902","5","37","65","83",""
"1903","5","37","65","83",""
"1904","5","37","65","83",""
"1905","5","37","65","83",""
"1906","5","37","65","83",""
"1907","5","37","65","83",""
"1908","5","37","65","83",""
"1910","5","37","65","83",""
"1913","5","37","65","83",""
"1915","5","37","65","83",""
"1921","5","37","65","83",""
"1922","5","37","65","83",""
"1923","5","37","65","83",""
"1929","5","37","65","83",""
"1930","5","37","65","83",""
"1931","5","37","65","83",""
"1936","5","37","65","83",""
"1937","5","37","65","83",""
"1938","5","37","65","83",""
"1940","5","37","65","83",""
"1944","5","37","65","83",""
"1945","5","37","65","83",""
"1947","5","37","65","83",""
"1949","5","37","65","83",""
"1950","5","37","65","83",""
"1951","5","37","65","83",""
"1952","5","37","65","83",""
"1960","5","37","65","83",""
"1961","5","37","65","83",""
"1964","5","37","65","83",""
"1965","5","37","65","83",""
"1966","5","37","65","83",""
"1969","5","37","65","83",""
"1970","5","37","65","83",""
"1971","5","37","65","83",""
"1982","5","37","65","83",""
"1983","5","37","65","83",""
"1984","5","37","65","83",""
"1985","5","37","65","83",""
"2018","5","37","65","83",""
"2019","5","37","65","83",""
"2020","5","37","65","83",""
"2021","5","37","65","83",""
"2025","5","37","65","83",""
"2026","5","37","65","83",""
"2027","5","37","65","83",""
"2030","5","37","65","83",""
"2031","5","37","65","83",""
"2032","5","37","65","83",""
"2035","5","37","65","83",""
"2038","5","37","65","83",""
"2040","5","37","65","83",""
"2041","5","37","65","83",""
"2043","5","37","65","83",""
"2044","5","37","65","83",""
"2045","5","37","65","83",""
"2047","5","37","65","83",""
"2048","5","37","65","83",""
"2050","5","37","65","83",""
"2051","5","37","65","83",""
"2052","5","37","65","83",""
"2053","5","37","65","83",""
"2054","5","37","65","83",""
"2055","5","37","65","83",""
"2056","5","37","65","83",""
"2059","5","37","65","83",""
"2060","5","37","65","83",""
"2061","5","37","65","83",""
"2062","5","37","65","83",""
"2065","5","37","65","83",""
"2066","5","37","65","83",""
"2067","5","37","65","83",""
"2070","5","37","65","83",""
"2071","5","37","65","83",""
"2072","5","37","65","83",""
"2081","5","37","65","83",""
"2090","5","37","65","83",""
"2093","5","37","65","83",""
"2101","5","37","65","83",""
"2102","5","37","65","83",""
"2103","5","37","65","83",""
"2104","5","37","65","83",""
"2105","5","37","65","83",""
"2106","5","37","65","83",""
"2107","5","37","65","83",""
"2108","5","37","65","83",""
"2109","5","37","65","83",""
"2110","5","37","65","83",""
"2111","5","37","65","83",""
"2112","5","37","65","83",""
"2113","5","37","65","83",""
"2114","5","37","65","83",""
"2115","5","37","65","83",""
"2116","5","37","65","83",""
"2117","5","37","65","83",""
"2118","5","37","65","83",""
"2119","5","37","65","83",""
"2120","5","37","65","83",""
"2121","5","37","65","83",""
"2122","5","37","65","83",""
"2123","5","37","65","83",""
"2124","5","37","65","83",""
"2125","5","37","65","83",""
"2126","5","37","65","83",""
"2127","5","37","65","83",""
"2128","5","37","65","83",""
"2129","5","37","65","83",""
"2130","0","","","",""
"2131","0","","","",""
"2132","0","","","",""
"2133","0","","","",""
"2134","0","","","",""
"2135","0","","","",""
"2136","0","","","",""
"2137","0","","","",""
"2138","0","","","",""
"2139","0","","","",""
"2140","5","37","65","83",""
"2141","5","37","65","83",""
"2142","5","37","65","83",""
"2143","5","37","65","83",""
"2144","5","37","65","83",""
"2145","5","37","65","83",""
"2146","5","37","65","83",""
"2147","5","37","65","83",""
"2148","5","37","65","83",""
"2149","5","37","65","83",""
"2150","5","37","65","83",""
"2151","5","37","65","83",""
"2152","5","37","65","83",""
"2153","5","37","65","83",""
"2154","5","37","65","83",""
"2155","5","37","65","83",""
"2156","5","37","65","83",""
